Isolate,Country
4-N.C.,USA
19-N.C.,USA
73-Fla.,USA
22-N.C.,USA
79-Ohio,USA
1O8-Ala.,USA
53-Ark.,USA
477-N.C.,USA
246-N.C.,USA
68-N.C.,USA
71-N.C.,USA
257-Fla.,USA
78-Ga.,USA
285-Tenn.,USA
83-N.C.,USA
299-Ari.,USA
183-N.M.,USA
403; 418-N.C.,USA
198-N.C.,USA
450-La.,USA
424-N.C.,USA
472-N.C.,USA
488-Ga.,USA
484-Ga.,USA
485-Ga.,USA
498-N.C.,USA
509-La.,USA
E463-Bermuda
E488-Bermuda 
E456-Tx.,USA
E458-Tx.,USA
360-Panama
390-Panama
415-El Sal.
417-El Sal.
470-El Sal.
E2-Guadeloupe
E25-El Salvador
E36-Panama
E38-Panama
E40-Jamaica
E48-Guadeloupe
E176-Puerto Rico
E256-Costa Rica
E263-Mexico
E269-Trinidad
E324-El Salvador
182-Peru
189-Peru
301-Colombia
12-Colombia
325-Peru
338-Colombia
339-Colombia
343-Peru
366-Brazil 
370-Brazil 
406-Brazil
430-Surinam
E52-Argentina
E104-Peru
E136-Colombia
E165-Brazil
E193-Surinam
E199-Brazil
ES02-Peru
89-Belgium
90-Belgium
91-Belgium
462-Switzerland
E406-Greece
340-Guatemala 
416-El Salvador
E27-El Salvador 
E26-El Salvador
E31-Panama 
E264-Mexico
E34-Panama 
E683-Mexico
E42-Jamaica
E179-Puerto Rico
E313-Trinidad
302-Colombia
391-Colombia
429-Surinam
475-Ecuador
E166-Brazil
E219-Colombia
E239-Colombia
E281-Colombia
E330-Chile
E431-Brazil
E438-Brazil
E536-Ecuador
92-Belgium
130-Greece 
131-Greece 
132-Greece
332-Germany
17S-Peru
265-Peru
344-Peru
E68-Uruguay
El05-Uruguay
E186-Brazil
E253-Brazil
E565-Peru
E573-Chile
E578-Peru
282-S.C.,USA
401-N.C.,USA
110-Guatemala
E103-Peru
E237-Ecuador
E783-Uruguay